﻿Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
MENNECY;87681411;JOB;2024-12-03;2024;D;D;Avant 6h;48
COLOMBES;87381087;JOB;2024-01-16;2024;J;J4;De 16h à 20h;2369
VILLENNES-SUR-SEINE;87386649;DIM;2021-05-12;2021;J;J5;De 10h à 16h;205
BAGNEAUX-SUR-LOING;87684191;DIM;2024-01-21;2024;R;R;Avant 6h;1
GAGNY;87113514;JOB;2022-03-22;2022;E;E;Avant 6h;225
MERIEL;87276675;DIM;2024-01-21;2024;H;H;De 10h à 16h;135
CHAVILLE-RIVE-DROITE;87382333;DIM;2024-04-28;2024;U;U;De 6h à 10h;39
NEUILLY-PORTE-MAILLOT;87381020;SAM;2025-08-02;2025;C;C;De 16h à 20h;1690
BAILLY;87710780;SAM;2023-10-14;2023;T13;T13;Après 20h;20
GARGENVILLE;87381566;SAM;2024-01-20;2024;J;J6;De 10h à 16h;274
MEUDON-VAL-FLEURY;87393082;JOB;2025-06-02;2025;C;C;Après 20h;131
COIGNIERES;87393272;SAM;2024-01-20;2024;N;N;De 6h à 10h;95
VILLEPARISIS-MITRY-LE-NEUF;87271510;DIM;2019-03-17;2019;B;B;De 6h à 10h;519
BAILLY;87710780;SAM;2023-10-14;2023;T13;T13;De 16h à 20h;72
LA-NORVILLE-SAINT-GERMAIN-LES-ARPAJON;87545459;JOB;2025-06-02;2025;C;C;Après 20h;29
MEUDON-VAL-FLEURY;87393082;JOB;2025-11-02;2025;C;C;De 10h à 16h;1119
CHAVILLE-RIVE-DROITE;87382333;SAM;2024-01-20;2024;L;L2;De 16h à 20h;548
ORGERUS-BEHOUST;87393447;SAM;2024-01-20;2024;N;N;De 6h à 10h;42
ASNIERES-SUR-SEINE;87381137;SAM;2024-01-20;2024;L;L3;De 6h à 10h;806
GENNEVILLIERS;87271205;DIM;2025-09-02;2025;C;C;Avant 6h;13
MITRY-CLAYE;87271528;DIM;2019-03-17;2019;B;B;Avant 6h;36
CHAVILLE-RIVE-GAUCHE;87393207;DIM;2024-01-21;2024;N;N;De 16h à 20h;289
NOINTEL-MOURS;87276758;SAM;2024-01-20;2024;H;H;Après 20h;19
BEYNES;87393363;JOB;2024-01-16;2024;N;N;Après 20h;9
LA-NORVILLE-SAINT-GERMAIN-LES-ARPAJON;87545459;SAM;2025-08-02;2025;C;C;De 16h à 20h;160
MITRY-CLAYE;87271528;DIM;2024-01-21;2024;K;K;Après 20h;17
CONFLANS-FIN-D'OISE;87381459;DIM;2024-01-21;2024;J;J6;De 6h à 10h;144
PARIS-EST;87113001;DIM;2023-11-19;2023;P;P;Avant 6h;44
BECON-LES-BRUYERES;87382002;JOB;2024-01-16;2024;L;L3;De 10h à 16h;1885
LA-PLAINE-STADE-DE-FRANCE;87164798;JOB;2023-10-10;2023;B;B;Après 20h;1313
MITRY-CLAYE;87271528;DIM;2024-01-21;2024;K;K;De 16h à 20h;61
CONFLANS-FIN-D'OISE;87381459;JOB;2024-01-16;2024;L;L3;De 10h à 16h;189
ORMOY-VILLERS;87271585;JOB;2024-01-16;2024;K;K;De 6h à 10h;36
AVENUE-FOCH;87381038;DIM;2025-09-02;2025;C;C;De 6h à 10h;36
CAMP-DES-LOGES;87710939;DIM;2023-10-15;2023;T13;T13;De 6h à 10h;8
MITRY-CLAYE;87271528;JOB;2023-10-10;2023;B;B;De 16h à 20h;1936
CHELLES-GOURNAY;87116111;JOB;2023-11-14;2023;P;P;Après 20h;335
PARIS-GARE-DE-LYON;87686030;JOB;2024-05-03;2024;D;D;De 16h à 20h;47213
BOIS-COLOMBES;87381079;JOB;2024-01-16;2024;J;J4;Avant 6h;82
MASSY-PALAISEAU;87393579;SAM;2025-08-02;2025;C;V;Après 20h;218
MITRY-CLAYE;87271528;JOB;2024-01-16;2024;K;K;Après 20h;63
CONFLANS-FIN-D'OISE;87381459;SAM;2022-11-19;2022;A;A;De 16h à 20h;964
