Nom Gare,Code Gare,Type jour,Date,Annee,Ligne,Axe,Tranche horaire,Somme de Montants,mois,jour_semaine
MORET-VENEUX-LES-SABLONS,87682278,SAM,2024-01-20,2024,R,R,Après 20h,93,1,Saturday
MANTES-LA-JOLIE,87381509,JOB,2024-01-16,2024,J,J6,De 10h à 16h,792,1,Tuesday
VERNOU-SUR-SEINE,87682468,DIM,2024-01-21,2024,R,R,Après 20h,1,1,Sunday
MANTES-STATION,87381590,DIM,2021-05-12,2021,J,J5,De 6h à 10h,50,5,Wednesday
MOUROUX,87116285,JOB,2023-11-14,2023,P,P,De 10h à 16h,27,11,Tuesday
MANTES-STATION,87381590,SAM,2024-01-20,2024,J,J6,Après 20h,22,1,Saturday
VERSAILLES-CHANTIERS,87393009,DIM,2024-01-21,2024,N,N,De 16h à 20h,2309,1,Sunday
MARCHEZAIS-BROUE,87393470,SAM,2024-01-20,2024,N,N,Après 20h,11,1,Saturday
NOISY-LE-SEC,87113217,DIM,2022-03-20,2022,E,E,Après 20h,1107,3,Sunday
MARLY-LE-ROI,87382465,SAM,2024-01-20,2024,L,L2,Avant 6h,23,1,Saturday
VERT-GALANT,87271437,JOB,2023-10-10,2023,B,B,De 10h à 16h,2786,10,Tuesday
MARLY-LE-ROI,87382465,SAM,2024-01-20,2024,L,L2,De 16h à 20h,398,1,Saturday
VIGNEUX-SUR-SEINE,87681304,JOB,2024-05-03,2024,D,D,Avant 6h,663,5,Friday
MASSY-EUROPE,87725465,SAM,2024-11-30,2024,T12,T12,De 10h à 16h,228,11,Saturday
VILLAINES,87272021,JOB,2024-01-16,2024,H,H,De 6h à 10h,112,1,Tuesday
MASSY-PALAISEAU,87393579,DIM,2024-01-12,2024,T12,T12,Avant 6h,27,1,Friday
NEUILLY-PORTE-MAILLOT,87381020,DIM,2025-09-02,2025,C,C,Avant 6h,6,9,Tuesday
MASSY-PALAISEAU,87393579,DIM,2024-01-12,2024,T12,T12,De 6h à 10h,222,1,Friday
VILLENNES-SUR-SEINE,87386649,SAM,2021-04-12,2021,J,J5,De 10h à 16h,312,4,Monday
MASSY-PALAISEAU,87393579,JOB,2024-11-26,2024,T12,T12,Après 20h,411,11,Tuesday
NOGENT-L'ARTAUD-CHARLY,87116566,JOB,2023-09-19,2023,P,P,Après 20h,11,9,Tuesday
MAURECOURT,87381483,SAM,2024-01-20,2024,J,J6,De 6h à 10h,147,1,Saturday
NOGENT-L'ARTAUD-CHARLY,87116566,JOB,2023-09-19,2023,P,P,Avant 6h,75,9,Tuesday
